Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
"Fri, Jan 13, 2023",10:00p,Houston Rockets,114,Sacramento Kings,139,Box Score,,"17,894",Golden 1 Center,
"Sat, Jan 14, 2023",1:00p,Milwaukee Bucks,95,Miami Heat,111,Box Score,,"19,620",FTX Arena,
"Sat, Jan 14, 2023",7:00p,Boston Celtics,122,Charlotte Hornets,106,Box Score,,"19,608",Spectrum Center,
"Sat, Jan 14, 2023",7:00p,Memphis Grizzlies,130,Indiana Pacers,112,Box Score,,"17,274",Gainbridge Fieldhouse,
"Sat, Jan 14, 2023",7:30p,Atlanta Hawks,114,Toronto Raptors,103,Box Score,,"19,800",Scotiabank Arena,
"Sat, Jan 14, 2023",8:00p,Cleveland Cavaliers,102,Minnesota Timberwolves,110,Box Score,,"17,136",Target Center,
"Sat, Jan 14, 2023",9:00p,Philadelphia 76ers,118,Utah Jazz,117,Box Score,,"18,206",Vivint Arena,
"Sat, Jan 14, 2023",10:00p,Dallas Mavericks,119,Portland Trail Blazers,136,Box Score,,"19,393",Moda Center,
"Sun, Jan 15, 2023",1:00p,New York Knicks,117,Detroit Pistons,104,Box Score,,"19,894",Little Caesars Arena,
"Sun, Jan 15, 2023",3:00p,Houston Rockets,100,Los Angeles Clippers,121,Box Score,,"17,238",Crypto.com Arena,
"Sun, Jan 15, 2023",3:30p,Golden State Warriors,118,Chicago Bulls,132,Box Score,,"20,139",United Center,
"Sun, Jan 15, 2023",6:00p,Oklahoma City Thunder,112,Brooklyn Nets,102,Box Score,,"18,165",Barclays Center,
"Sun, Jan 15, 2023",7:00p,Sacramento Kings,132,San Antonio Spurs,119,Box Score,,"12,339",AT&T Center,
"Sun, Jan 15, 2023",8:00p,Orlando Magic,116,Denver Nuggets,119,Box Score,,"19,641",Ball Arena,
"Sun, Jan 15, 2023",9:00p,Dallas Mavericks,123,Portland Trail Blazers,140,Box Score,,"19,393",Moda Center,
"Sun, Jan 15, 2023",9:30p,Philadelphia 76ers,113,Los Angeles Lakers,112,Box Score,,"18,020",Crypto.com Arena,
"Mon, Jan 16, 2023",1:00p,Boston Celtics,130,Charlotte Hornets,118,Box Score,,"19,227",Spectrum Center,
"Mon, Jan 16, 2023",2:30p,Indiana Pacers,119,Milwaukee Bucks,132,Box Score,,"17,412",Fiserv Forum,
"Mon, Jan 16, 2023",3:00p,New Orleans Pelicans,103,Cleveland Cavaliers,113,Box Score,,"19,432",Rocket Mortgage Fieldhouse,
"Mon, Jan 16, 2023",3:00p,Toronto Raptors,123,New York Knicks,121,Box Score,OT,"19,812",Madison Square Garden (IV),
"Mon, Jan 16, 2023",3:00p,Golden State Warriors,127,Washington Wizards,118,Box Score,,"20,476",Capital One Arena,
"Mon, Jan 16, 2023",3:30p,Miami Heat,113,Atlanta Hawks,121,Box Score,,"18,007",State Farm Arena,
"Mon, Jan 16, 2023",4:00p,Utah Jazz,126,Minnesota Timberwolves,125,Box Score,,"16,477",Target Center,
"Mon, Jan 16, 2023",6:00p,Phoenix Suns,106,Memphis Grizzlies,136,Box Score,,"17,794",FedEx Forum,
"Mon, Jan 16, 2023",10:30p,Houston Rockets,132,Los Angeles Lakers,140,Box Score,,"17,657",Crypto.com Arena,
"Tue, Jan 17, 2023",7:30p,Toronto Raptors,122,Milwaukee Bucks,130,Box Score,,"17,341",Fiserv Forum,
"Tue, Jan 17, 2023",8:00p,Brooklyn Nets,98,San Antonio Spurs,106,Box Score,,"13,532",AT&T Center,
"Tue, Jan 17, 2023",9:00p,Portland Trail Blazers,113,Denver Nuggets,122,Box Score,,"18,258",Ball Arena,
"Tue, Jan 17, 2023",10:00p,Philadelphia 76ers,120,Los Angeles Clippers,110,Box Score,,"15,155",Crypto.com Arena,
"Wed, Jan 18, 2023",7:30p,Atlanta Hawks,130,Dallas Mavericks,122,Box Score,,"20,125",American Airlines Center,
"Wed, Jan 18, 2023",7:30p,Washington Wizards,116,New York Knicks,105,Box Score,,"19,164",Madison Square Garden (IV),
"Wed, Jan 18, 2023",8:00p,Charlotte Hornets,122,Houston Rockets,117,Box Score,,"15,678",Toyota Center,
"Wed, Jan 18, 2023",8:00p,Cleveland Cavaliers,114,Memphis Grizzlies,115,Box Score,,"16,892",FedEx Forum,
"Wed, Jan 18, 2023",8:00p,Miami Heat,124,New Orleans Pelicans,98,Box Score,,"17,736",Smoothie King Center,
"Wed, Jan 18, 2023",8:00p,Indiana Pacers,106,Oklahoma City Thunder,126,Box Score,,"14,748",Paycom Center,
"Wed, Jan 18, 2023",9:00p,Los Angeles Clippers,103,Utah Jazz,126,Box Score,,"18,206",Vivint Arena,
"Wed, Jan 18, 2023",10:00p,Minnesota Timberwolves,118,Denver Nuggets,122,Box Score,,"16,112",Ball Arena,
"Wed, Jan 18, 2023",10:30p,Sacramento Kings,116,Los Angeles Lakers,111,Box Score,,"18,142",Crypto.com Arena,
"Thu, Jan 19, 2023",3:00p,Chicago Bulls,126,Detroit Pistons,108,Box Score,,"15,885",AccorHotels Arena,
"Thu, Jan 19, 2023",7:30p,Golden State Warriors,118,Boston Celtics,121,Box Score,OT,"19,156",TD Garden,
"Thu, Jan 19, 2023",8:00p,Toronto Raptors,126,Minnesota Timberwolves,128,Box Score,,"16,318",Target Center,
"Thu, Jan 19, 2023",10:00p,Brooklyn Nets,112,Phoenix Suns,117,Box Score,,"17,071",Footprint Center,
"Thu, Jan 19, 2023",10:00p,Philadelphia 76ers,105,Portland Trail Blazers,95,Box Score,,"18,113",Moda Center,
"Fri, Jan 20, 2023",7:00p,New Orleans Pelicans,110,Orlando Magic,123,Box Score,,"19,025",Amway Center,
"Fri, Jan 20, 2023",7:30p,New York Knicks,124,Atlanta Hawks,139,Box Score,,"17,711",State Farm Arena,
"Fri, Jan 20, 2023",7:30p,Golden State Warriors,120,Cleveland Cavaliers,114,Box Score,,"19,432",Rocket Mortgage Fieldhouse,
"Fri, Jan 20, 2023",7:30p,Miami Heat,90,Dallas Mavericks,115,Box Score,,"20,326",American Airlines Center,
"Fri, Jan 20, 2023",8:00p,Los Angeles Clippers,131,San Antonio Spurs,126,Box Score,,"15,190",AT&T Center,
"Fri, Jan 20, 2023",9:00p,Indiana Pacers,111,Denver Nuggets,134,Box Score,,"19,609",Ball Arena,
"Fri, Jan 20, 2023",9:00p,Brooklyn Nets,117,Utah Jazz,106,Box Score,,"18,206",Vivint Arena,
"Fri, Jan 20, 2023",10:00p,Memphis Grizzlies,121,Los Angeles Lakers,122,Box Score,,"18,997",Crypto.com Arena,
"Fri, Jan 20, 2023",10:00p,Oklahoma City Thunder,113,Sacramento Kings,118,Box Score,,"17,932",Golden 1 Center,
"Sat, Jan 21, 2023",5:00p,Boston Celtics,106,Toronto Raptors,104,Box Score,,"19,800",Scotiabank Arena,
"Sat, Jan 21, 2023",7:00p,Orlando Magic,118,Washington Wizards,138,Box Score,,"18,171",Capital One Arena,
"Sat, Jan 21, 2023",7:30p,Charlotte Hornets,122,Atlanta Hawks,118,Box Score,,"17,928",State Farm Arena,
"Sat, Jan 21, 2023",7:30p,Milwaukee Bucks,102,Cleveland Cavaliers,114,Box Score,,"19,432",Rocket Mortgage Fieldhouse,
"Sat, Jan 21, 2023",8:00p,Houston Rockets,104,Minnesota Timberwolves,113,Box Score,,"17,136",Target Center,
"Sat, Jan 21, 2023",9:00p,Indiana Pacers,107,Phoenix Suns,112,Box Score,,"17,071",Footprint Center,
"Sat, Jan 21, 2023",10:00p,Philadelphia 76ers,129,Sacramento Kings,127,Box Score,,"17,861",Golden 1 Center,
"Sun, Jan 22, 2023",2:30p,Los Angeles Clippers,112,Dallas Mavericks,98,Box Score,,"20,026",American Airlines Center,
"Sun, Jan 22, 2023",3:30p,New Orleans Pelicans,96,Miami Heat,100,Box Score,,"19,600",FTX Arena,
"Sun, Jan 22, 2023",6:00p,New York Knicks,116,Toronto Raptors,125,Box Score,,"19,261",Scotiabank Arena,
"Sun, Jan 22, 2023",8:00p,Oklahoma City Thunder,101,Denver Nuggets,99,Box Score,,"19,557",Ball Arena,
"Sun, Jan 22, 2023",8:00p,Memphis Grizzlies,110,Phoenix Suns,112,Box Score,,"17,071",Footprint Center,
"Sun, Jan 22, 2023",8:30p,Brooklyn Nets,120,Golden State Warriors,116,Box Score,,"18,064",Chase Center,
"Sun, Jan 22, 2023",9:00p,Los Angeles Lakers,121,Portland Trail Blazers,112,Box Score,,"19,393",Moda Center,
"Mon, Jan 23, 2023",7:00p,Milwaukee Bucks,150,Detroit Pistons,130,Box Score,,"18,011",Little Caesars Arena,
"Mon, Jan 23, 2023",7:00p,Boston Celtics,98,Orlando Magic,113,Box Score,,"19,196",Amway Center,
"Mon, Jan 23, 2023",8:00p,Atlanta Hawks,100,Chicago Bulls,111,Box Score,,"20,938",United Center,
"Mon, Jan 23, 2023",8:00p,Minnesota Timberwolves,114,Houston Rockets,119,Box Score,,"13,811",Toyota Center,
"Mon, Jan 23, 2023",9:00p,Charlotte Hornets,102,Utah Jazz,120,Box Score,,"18,206",Vivint Arena,
"Mon, Jan 23, 2023",10:00p,San Antonio Spurs,127,Portland Trail Blazers,147,Box Score,,"17,874",Moda Center,
"Mon, Jan 23, 2023",10:30p,Memphis Grizzlies,100,Sacramento Kings,133,Box Score,,"17,821",Golden 1 Center,
"Tue, Jan 24, 2023",7:00p,Chicago Bulls,110,Indiana Pacers,116,Box Score,,"16,102",Gainbridge Fieldhouse,
"Tue, Jan 24, 2023",7:30p,Boston Celtics,95,Miami Heat,98,Box Score,,"19,705",FTX Arena,
"Tue, Jan 24, 2023",7:30p,Cleveland Cavaliers,103,New York Knicks,105,Box Score,,"19,812",Madison Square Garden (IV),
"Tue, Jan 24, 2023",8:00p,Denver Nuggets,99,New Orleans Pelicans,98,Box Score,,"14,699",Smoothie King Center,
"Tue, Jan 24, 2023",8:30p,Washington Wizards,127,Dallas Mavericks,126,Box Score,,"20,077",American Airlines Center,
"Tue, Jan 24, 2023",9:00p,Charlotte Hornets,97,Phoenix Suns,128,Box Score,,"17,071",Footprint Center,
"Tue, Jan 24, 2023",10:00p,Los Angeles Clippers,133,Los Angeles Lakers,115,Box Score,,"17,604",Crypto.com Arena,
"Wed, Jan 25, 2023",7:00p,Indiana Pacers,120,Orlando Magic,126,Box Score,,"18,846",Amway Center,
"Wed, Jan 25, 2023",7:30p,Brooklyn Nets,133,Philadelphia 76ers,137,Box Score,,"19,772",Wells Fargo Center,
"Wed, Jan 25, 2023",8:00p,Washington Wizards,108,Houston Rockets,103,Box Score,,"15,302",Toyota Center,
"Wed, Jan 25, 2023",8:00p,Denver Nuggets,99,Milwaukee Bucks,107,Box Score,,"17,352",Fiserv Forum,
"Wed, Jan 25, 2023",8:00p,Minnesota Timberwolves,111,New Orleans Pelicans,102,Box Score,,"14,887",Smoothie King Center,
"Wed, Jan 25, 2023",8:00p,Atlanta Hawks,137,Oklahoma City Thunder,132,Box Score,,"15,079",Paycom Center,
"Wed, Jan 25, 2023",10:00p,Memphis Grizzlies,120,Golden State Warriors,122,Box Score,,"18,064",Chase Center,
"Wed, Jan 25, 2023",10:00p,Utah Jazz,124,Portland Trail Blazers,134,Box Score,,"18,154",Moda Center,
"Wed, Jan 25, 2023",10:00p,Toronto Raptors,113,Sacramento Kings,95,Box Score,,"17,767",Golden 1 Center,
"Wed, Jan 25, 2023",10:30p,San Antonio Spurs,104,Los Angeles Lakers,113,Box Score,,"17,955",Crypto.com Arena,
"Thu, Jan 26, 2023",7:30p,New York Knicks,120,Boston Celtics,117,Box Score,OT,"19,156",TD Garden,
"Thu, Jan 26, 2023",7:30p,Detroit Pistons,130,Brooklyn Nets,122,Box Score,,"17,732",Barclays Center,
